Municipality,Code,Porcentage of population living with at most 1/2 minimum wage (%),Employed population (%),Natural forests (%),Households with access to electric energy (%),Planted or destined to harvest area (%),Maximum capcacity of reservoirs (m^3),Nature conservation unit demarcated area(%),Average wind (m/s)
Acari,2400109,0.435,0.1162,0.3,0.991,0.003,44421480,0.00253,9.755276887
Açu,2400208,0.447,0.1303,0.477,0.975,0.017,2450423644,0.00168,9.82959017
Afonso Bezerra,2400307,0.515,0.1137,0.429,0.97,0.017,16018308,0,9.613601625
Água Nova,2400406,0.551,0.0823,0.631,0.999,0.07,0,0,10.55984625
Alexandria,2400505,0.504,0.0773,0.305,0.973,0.016,0,0,10.43056121
Almino Afonso,2400604,0.507,0.0689,0.672,0.937,0.027,0,0,10.29573112
Alto do Rodrigues,2400703,0.429,0.2519,0.419,0.989,0.133,0,0,9.73057819
Angicos,2400802,0.492,0.1091,0.643,0.971,0.007,0,0,9.676272665
Antônio Martins,2400901,0.539,0.0543,0.421,0.957,0.037,0,0,10.35983787
Apodi,2401008,0.519,0.1239,0.486,0.974,0.048,599712000,0,10.30172927
Areia Branca,2401107,0.45,0.1724,0.617,0.983,0.06,0,0.11625,9.919239144
Arês,2401206,0.51,0.2162,0.135,0.983,0.722,0,0.14603,9.03283212
Baía Formosa,2401404,0.479,0.3464,0.349,0.972,0.827,0,0.08239,10.05073772
Baraúna,2401453,0.468,0.1663,0.416,0.94,0.127,0,0.05751,8.970288114
Barcelona,2401503,0.506,0.1349,0.209,0.97,0.012,0,0,10.19446425
Bento Fernandes,2401602,0.523,0.0859,0.365,0.982,0.011,0,0,9.383524337
Bodó,2401651,0.524,0.1939,0.619,0.984,0.154,0,0,9.306101727
Bom Jesus,2401701,0.491,0.0642,0.034,0.979,0.219,0,0,9.61200267
Brejinho,2401800,0.462,0.0879,0.002,0.977,0.045,0,0,9.228248203
Caiçara do Norte,2401859,0.526,0.1173,0.621,0.975,0.116,0,0,9.134671816
Caiçara do Rio do Vento,2401909,0.516,0.0919,0.682,0.993,0.002,0,0,9.341663099
Caicó,2402006,0.379,0.1855,0.492,0.992,0.001,75839349,0,9.397246309
Campo Grande,2401305,0.517,0.0544,0.452,0.986,0.01,6708331,0,9.970518746
Campo Redondo,2402105,0.533,0.0695,0.751,0.989,0.043,0,0,9.531918536
Canguaretama,2402204,0.507,0.1008,0.211,0.962,0.68,0,0.15695,9.032388746
Caraúbas,2402303,0.496,0.1274,0.626,0.972,0.02,18538109,0,10.17741994
Carnaúba dos Dantas,2402402,0.382,0.1686,0.673,0.976,0.004,0,0,9.740702553
Carnaubais,2402501,0.507,0.0794,0.377,0.956,0.023,0,0.01067,9.773600826
Ceará-Mirim,2402600,0.461,0.1009,0.208,0.978,0.116,0,0.0081,9.110446136
Cerro Corá,2402709,0.512,0.0843,0.665,0.975,0.227,0,0,9.585214842
Coronel Ezequiel,2402808,0.528,0.0567,0.83,0.967,0.049,0,0,9.557207425
Coronel João Pessoa,2402907,0.524,0.0641,0.709,0.991,0.061,0,0,10.63423688
